GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ventas_bolivar,com.example.ventasbolivar.model.dto,LoginResponse,0,15,0,0,0,1,0,3,0,3
ventas_bolivar,com.example.ventasbolivar.model.dto,LoginRequest,0,15,0,0,0,1,0,3,0,3
ventas_bolivar,com.example.ventasbolivar.service.security,SecurityConfig,0,98,0,0,0,21,0,8,0,8
ventas_bolivar,com.example.ventasbolivar.service.security,JwtService,0,77,1,3,0,20,1,8,0,7
ventas_bolivar,com.example.ventasbolivar.service.security,JwtAuthFilter,1,72,1,9,1,22,1,6,0,2
ventas_bolivar,com.example.ventasbolivar.service.security,CustomUserDetailsService,0,70,1,5,0,18,1,6,0,4
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,VentaServiceimpl,75,542,12,15,9,126,14,23,2,21
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,CategoriaServiceimpl,0,192,1,3,0,48,1,11,0,10
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,ArticuloServiceimpl,0,293,0,0,0,71,0,12,0,12
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,UsuarioServiceimpl,0,207,0,0,0,54,0,11,0,11
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,PermisoServiceimpl,0,31,0,0,0,10,0,3,0,3
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,PersonaServiceimpl,0,284,1,3,0,75,1,15,0,14
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,DashboardServiceimpl,6,238,3,1,2,50,2,3,0,3
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,DevolucionServiceimpl,0,129,0,0,0,31,0,7,0,7
ventas_bolivar,com.example.ventasbolivar.service.serviceimpl,IngresoServiceimpl,52,363,1,3,13,85,5,10,4,9
ventas_bolivar,com.example.ventasbolivar,VentasBolivarApplication,5,3,0,0,2,1,1,1,1,1
ventas_bolivar,com.example.ventasbolivar.controller,DevolucionController,0,20,0,0,0,6,0,4,0,4
ventas_bolivar,com.example.ventasbolivar.controller,PersonaController,20,43,0,0,8,8,0,7,0,7
ventas_bolivar,com.example.ventasbolivar.controller,DashboardController,0,7,0,0,0,1,0,1,0,1
ventas_bolivar,com.example.ventasbolivar.controller,VentaController,25,51,0,0,10,10,0,8,0,8
ventas_bolivar,com.example.ventasbolivar.controller,CategoriaController,0,89,0,0,0,29,0,5,0,5
ventas_bolivar,com.example.ventasbolivar.controller,IngresoController,35,31,0,0,14,7,0,4,0,4
ventas_bolivar,com.example.ventasbolivar.controller,AuthController,3,90,0,2,0,23,1,5,1,4
ventas_bolivar,com.example.ventasbolivar.controller,ArticuloController,50,39,0,0,20,9,0,5,0,5
ventas_bolivar,com.example.ventasbolivar.controller,UsuarioController,50,39,0,0,20,9,0,5,0,5
ventas_bolivar,com.example.ventasbolivar.controller,PermisoController,5,5,0,0,2,1,0,1,0,1
ventas_bolivar,com.example.ventasbolivar.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
